Model,File,Format,Size_MB,FPS,Avg_ms,Std_ms,Min_ms,Max_ms,Total_Time_s,Total_Images,Avg_Confidence,Peak_Mem_MB,GPU_Mem_Total_MB,GPU_Mem_Alloc_MB,GPU_Mem_Cached_MB,Avg_CPU_Pct,Avg_RAM_Pct,Avg_GPU_Util_Pct
GenderAge-MobileNetV3,best_checkpoint.pth,PTH,21.420266151428223,36.94327063763999,21.33964656968601,22.3082902905517,18.442182001308538,243.21582200354896,2.7068529200041667,100,0.7903525796532631,145.677734375,15655.49609375,15.28515625,158.0,12.7,14.229999999999999,0.0
Mood-YOLO,best mood.pt,PT,10.521791458129883,53.82155033898637,16.1500505314325,0.9298021957864498,15.018211008282378,20.808979010325857,1.857991814991692,100,0.7086376953125,148.623046875,15655.49609375,19.779296875,182.0,11.628571428571428,16.585714285714285,0.0
