Model,File,Format,Size_MB,FPS,Avg_ms,Std_ms,Min_ms,Max_ms,Total_Time_s,Total_Images,Avg_Confidence,Peak_Mem_MB,GPU_Mem_Total_MB,GPU_Mem_Alloc_MB,GPU_Mem_Cached_MB,Avg_CPU_Pct,Avg_RAM_Pct,Avg_GPU_Util_Pct
YOLO,best.pt,PT,19.92653465270996,33.10211082786603,28.784536271195975,2.449926618787978,23.352849995717406,36.66020200762432,30.20955386199057,1000,0.550280517578125,187.8486328125,15655.49609375,52.2548828125,220.0,12.597247706422017,16.18990825688073,0.0
GenderAge-MobileNetV3,best_checkpoint.pth,PTH,21.420266151428223,41.84869762242115,20.134291125985328,6.08956488863847,18.73711599910166,211.06280300591607,23.895606238991604,1000,0.7868722737133503,169.55322265625,15655.49609375,39.16064453125,190.0,13.84022988505747,16.8528735632184,0.0
Mood-YOLO,best mood.pt,PT,10.521791458129883,59.021239147482724,15.91543526800524,0.7320884950445076,14.556046007783152,19.942706989240833,16.943053288006922,1000,0.690212646484375,171.22509765625,15655.49609375,42.380859375,214.0,13.458064516129031,17.10322580645161,0.0
